,flow_id,fwd_packet_length_std,fwd_packet_length_mean,fwd_packet_length_min,fwd_packet_length_max,total_length_fwd_packets,flow_start_time,flow_end_time,bwd_packet_length_std,bwd_packet_length_mean,bwd_packet_length_min,bwd_packet_length_max,total_length_bwd_packets,bwd_flow_start_time,bwd_flow_end_time,flow_duration,flow_bytes/s,flow_packets/s,flow_iat_std,flow_iat_min,flow_iat_max,flow_iat_mean
0,13.89.179.11-192.168.95.99-443-64630,328.8046532517446,286.5,54.0,519.0,573.0,1741078853.124176,1741078853.695814,0.0,0.0,0.0,0.0,0.0,1741078853.124176,1741078853.695814,0.571638,0,0,0.0,0.571638,0.571638,0.571638
1,140.82.112.22-192.168.95.99-443-64418,162.14317967242937,117.875,54.0,517.0,943.0,1741078854.352704,1741078854.356497,0.0,0.0,0.0,0.0,0.0,1741078854.352704,1741078854.356497,0.003793,0,0,0.0013986603624625278,0.000000,0.003713,0.0005418571428571429
2,140.82.113.26-192.168.95.99-443-64619,0.0,66.0,66.0,66.0,66.0,1741078855.689422,1741078855.689422,0.0,0.0,0.0,0.0,0.0,1741078855.689422,1741078855.689422,0.000000,0,0,0.0,0,0,0.0
3,192.168.95.99-13.89.179.11-64630-443,0.0,0.0,0.0,0.0,0.0,,,13.856406460551018,62.0,54.0,78.0,186.0,1741078853.124302,1741078853.125084,0,0,0,0.0003903229432149742,0.000115,0.000667,0.000391
4,192.168.95.99-140.82.112.22-64418-443,0.0,0.0,0.0,0.0,0.0,,,353.3203052404972,1321.3333333333333,54.0,1424.0,19820.0,1741078853.688207,1741078854.356539,0,0,0,0.17861924032981444,0.000000,0.668332,0.047738
5,192.168.95.99-140.82.113.26-64619-443,0.0,0.0,0.0,0.0,0.0,,,0.0,55.0,55.0,55.0,55.0,1741078855.4142,1741078855.4142,0,0,0,0.0,0,0,0.0
6,192.168.95.99-40.119.249.228-64631-443,565.5199910649646,477.11764705882354,54.0,1424.0,8111.0,1741078854.766697,1741078855.931721,0.0,0.0,0.0,0.0,0.0,1741078854.766697,1741078855.931721,1.165024,0,0,0.08732111894992338,0.000000,0.293449,0.072814
7,192.168.95.99-8.8.8.8-60586-53,7.7781745930520225,85.5,80.0,91.0,171.0,1741078854.694182,1741078854.856674,0.0,0.0,0.0,0.0,0.0,1741078854.694182,1741078854.856674,0.162492,0,0,0.0,0.162492,0.162492,0.162492
8,192.168.95.99-8.8.8.8-62418-53,7.7781745930520225,85.5,80.0,91.0,171.0,1741078854.69425,1741078854.856754,0.0,0.0,0.0,0.0,0.0,1741078854.69425,1741078854.856754,0.162504,0,0,0.0,0.162504,0.162504,0.162504
9,40.119.249.228-192.168.95.99-443-64631,0.0,0.0,0.0,0.0,0.0,,,492.69842026673206,339.5,54.0,1404.0,5432.0,1741078854.8883,1741078855.93162,0,0,0,0.0640216033936611,0.000000,0.185359,0.06955466666666667
10,8.8.8.8-192.168.95.99-53-60586,0.0,0.0,0.0,0.0,0.0,,,24.748737341529164,209.5,192.0,227.0,419.0,1741078854.759675,1741078854.941242,0,0,0,0.0,0.181567,0.181567,0.181567
11,8.8.8.8-192.168.95.99-53-62418,0.0,0.0,0.0,0.0,0.0,,,38.18376618407357,243.0,216.0,270.0,486.0,1741078854.765599,1741078854.938625,0,0,0,0.0,0.173026,0.173026,0.173026
